Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR,playerid
Albert Pujols,- - -,2426,10552,591,1670,1817,107,0.115,0.100,0.263,0.294,0.309,0.392,0.573,0.403,153,-27.2,667.1,-101.4,91,1177
Alex Rodriguez,- - -,2142,9364,548,1528,1623,211,0.120,0.191,0.259,0.309,0.291,0.385,0.55,0.397,144,25.5,535.3,28.4,87.4,1274
Adrian Beltre,- - -,2491,10432,423,1326,1482,98,0.067,0.138,0.197,0.299,0.288,0.339,0.485,0.352,117,-5.5,204.7,210.2,77.7,639
Miguel Cabrera,- - -,2096,9001,446,1321,1553,38,0.112,0.168,0.241,0.347,0.321,0.399,0.562,0.405,153,-56.6,511.6,-151.1,67.8,1744
Carlos Beltran,- - -,2287,9736,399,1398,1421,282,0.103,0.160,0.214,0.299,0.281,0.355,0.495,0.363,122,66.6,332.9,-13.1,63.9,589
Chase Utley,- - -,1723,7323,250,1042,977,145,0.092,0.150,0.194,0.299,0.278,0.361,0.472,0.36,121,71.5,260.3,131.1,63.2,1679
Barry Bonds,Giants,986,4072,317,772,697,54,0.277,0.105,0.402,0.283,0.322,0.517,0.724,0.49,203,-5.5,537.4,-37.7,61.9,1109
Ichiro Suzuki,- - -,2500,10466,114,1396,760,508,0.060,0.099,0.092,0.34,0.313,0.356,0.405,0.33,105,95.9,167.7,66.1,58.4,1101
Chipper Jones,Braves,1720,7228,315,1077,1099,67,0.146,0.131,0.225,0.314,0.304,0.404,0.529,0.397,142,-12,376.4,-32.3,57.1,97
Lance Berkman,- - -,1845,7708,362,1136,1219,81,0.154,0.166,0.245,0.316,0.294,0.407,0.539,0.402,145,-12.6,422.9,-109.9,55.8,548
Scott Rolen,- - -,1573,6507,234,914,990,76,0.100,0.152,0.207,0.301,0.281,0.361,0.488,0.364,121,9.7,186.2,150.1,54.3,970
David Wright,Mets,1583,6869,242,949,970,196,0.111,0.188,0.195,0.339,0.296,0.376,0.491,0.373,133,18.5,298.3,7.4,53.2,3787
Derek Jeter,Yankees,2109,9716,197,1437,970,272,0.083,0.141,0.125,0.345,0.307,0.374,0.432,0.355,117,21.7,235.2,-33.4,52.4,826
David Ortiz,- - -,2297,9689,531,1361,1716,16,0.131,0.170,0.27,0.298,0.287,0.38,0.557,0.394,141,-78.2,407,-235,50.6,745
Matt Holliday,- - -,1773,7489,295,1104,1153,107,0.099,0.164,0.212,0.333,0.303,0.382,0.515,0.386,137,0.6,334.8,-83.4,50,1873
Andruw Jones,- - -,1691,6774,354,947,1032,78,0.105,0.204,0.235,0.269,0.253,0.338,0.488,0.353,112,-8.2,96.8,181.3,49.5,96
Jimmy Rollins,- - -,2275,10240,231,1421,936,470,0.079,0.123,0.154,0.283,0.264,0.324,0.418,0.323,95,83.1,26.5,134.8,49.4,971
Todd Helton,Rockies,1901,8100,304,1196,1185,27,0.149,0.128,0.22,0.334,0.317,0.419,0.536,0.406,134,-33,326.5,-88.6,49,432
Robinson Cano,- - -,1848,7845,278,1065,1086,50,0.064,0.123,0.191,0.321,0.307,0.355,0.498,0.365,127,-28.7,224.9,-15.8,49,3269
Mike Trout,Angels,811,3558,168,600,497,143,0.134,0.220,0.251,0.36,0.306,0.405,0.557,0.409,167,42.8,317.8,13.1,47.5,10155
Evan Longoria,Rays,1279,5474,241,709,806,45,0.096,0.203,0.219,0.301,0.271,0.344,0.49,0.356,126,3.9,174.4,96.1,47.1,9368
Joey Votto,Reds,1268,5434,221,757,730,67,0.159,0.185,0.223,0.359,0.313,0.425,0.536,0.41,157,-13,355,-75.7,46.8,4314
Dustin Pedroia,Red Sox,1398,6280,133,874,662,134,0.091,0.096,0.144,0.315,0.301,0.366,0.445,0.355,117,-3.2,123.5,114.1,46.4,8370
Joe Mauer,Twins,1590,6820,130,885,804,50,0.121,0.127,0.137,0.341,0.308,0.391,0.446,0.362,125,1.7,209.2,13,45.8,1857
Bobby Abreu,- - -,2048,8596,248,1244,1169,347,0.147,0.180,0.183,0.332,0.288,0.392,0.471,0.375,128,32.5,345.1,-164.5,45.8,945
Jim Edmonds,- - -,1302,5029,272,787,791,41,0.144,0.233,0.265,0.322,0.28,0.386,0.546,0.394,139,-2.5,252.4,42,45.1,1153
Mark Teixeira,- - -,1862,8029,409,1099,1298,26,0.114,0.179,0.241,0.282,0.268,0.36,0.509,0.371,127,-7.8,255.9,-79.6,45,1281
Ian Kinsler,- - -,1534,6871,212,1059,787,211,0.084,0.123,0.174,0.289,0.277,0.344,0.451,0.346,111,48.6,142.5,52.7,44.1,6195
Curtis Granderson,- - -,1649,7013,293,1039,801,145,0.108,0.227,0.219,0.296,0.255,0.34,0.474,0.352,118,52.2,202.6,-3.2,43.9,4747
Jose Reyes,- - -,1622,7428,126,1075,645,488,0.070,0.107,0.142,0.311,0.289,0.338,0.431,0.333,105,70.7,116.6,60.6,42.4,1736
J.D. Drew,- - -,1448,5682,224,863,743,68,0.142,0.185,0.211,0.314,0.28,0.387,0.491,0.379,129,16,228.2,11.2,42.3,1152
Carl Crawford,- - -,1716,7178,136,998,766,480,0.053,0.149,0.145,0.326,0.29,0.33,0.435,0.332,104,87.3,124.6,52.6,42,1201
Torii Hunter,- - -,2230,9251,344,1244,1354,185,0.068,0.180,0.188,0.308,0.278,0.332,0.465,0.344,112,-7.6,120.8,-18.9,41.8,731
Vladimir Guerrero,- - -,1729,7327,357,1072,1215,153,0.085,0.107,0.231,0.317,0.318,0.381,0.549,0.389,137,-46.6,295,-115,41.7,778
