Date,ARI,ATL,BAL,BOS,CHC,CIN,CLE,COL,CWS,DET,HOU,KCA,LAA,LAD,MIA,MIL,MIN,NYM,NYY,OAK,PHI,PIT,SDN,SEA,SFN,STL,TBA,TEX,TOR,WAS
4/2/17,SFN,,,,,,,,,,,,,,,,,,,,,,,,,,NYY,,,
4/3/17,,,TOR,PIT,,PHI,,,DET,,SEA,,,SDN,,COL,KCA,ATL,,,,,,,,CHC,,CLE,,MIA
4/4/17,SFN,,,,,,,,,,SEA,,,SDN,,COL,,,,LAA,,,,,,,NYY,CLE,,
4/5/17,SFN,,TOR,PIT,,PHI,,,DET,,SEA,,,SDN,,COL,KCA,ATL,,LAA,,,,,,CHC,NYY,CLE,,MIA
4/6/17,SFN,,,PIT,,PHI,,,DET,,SEA,,,SDN,,COL,KCA,ATL,,LAA,,,,,,CHC,TOR,,,MIA
4/7/17,CLE,,NYY,,,,,LAD,MIN,BOS,KCA,,SEA,,,CHC,,MIA,,,WAS,ATL,SFN,,,CIN,TOR,OAK,,
4/8/17,CLE,,NYY,,,,,LAD,MIN,BOS,KCA,,SEA,,,CHC,,MIA,,,WAS,ATL,SFN,,,CIN,TOR,OAK,,
4/9/17,CLE,,NYY,,,,,LAD,MIN,BOS,KCA,,SEA,,,CHC,,MIA,,,WAS,ATL,SFN,,,CIN,TOR,OAK,,
4/10/17,,,,,LAD,,,SDN,,BOS,,OAK,,,,,,,TBA,,NYM,CIN,,HOU,ARI,,,,,STL
4/11/17,,,,BAL,,,CWS,SDN,,MIN,,,TEX,,ATL,,,,,,NYM,CIN,,HOU,ARI,,,,MIL,STL
4/12/17,,,,BAL,LAD,,CWS,SDN,,MIN,,OAK,TEX,,ATL,,,,TBA,,NYM,CIN,,HOU,ARI,,,,MIL,STL
4/13/17,,,,,LAD,MIL,CWS,,,MIN,,OAK,TEX,,NYM,,,,TBA,,,,,,COL,,,,BAL,
4/14/17,,SDN,,TBA,PIT,MIL,DET,,,,,LAA,,ARI,NYM,,CWS,,STL,HOU,,,,TEX,COL,,,,BAL,PHI
4/15/17,,SDN,,TBA,PIT,MIL,DET,,,,,LAA,,ARI,NYM,,CWS,,STL,HOU,,,,TEX,COL,,,,BAL,PHI
4/16/17,,SDN,,TBA,PIT,MIL,DET,,,,,LAA,,ARI,NYM,,CWS,,STL,HOU,,,,TEX,COL,,,,BAL,PHI
4/17/17,,SDN,,TBA,MIL,,,,,,LAA,,,ARI,,,CLE,,CWS,TEX,,,,MIA,,PIT,,,,
4/18/17,,WAS,,,MIL,BAL,,,,,LAA,SFN,,COL,,,CLE,PHI,CWS,TEX,,,ARI,MIA,,PIT,DET,,BOS,
4/19/17,,WAS,,,MIL,BAL,,,,,LAA,SFN,,COL,,,CLE,PHI,CWS,TEX,,,ARI,MIA,,PIT,DET,,BOS,
4/20/17,,WAS,,,,BAL,,,,,LAA,,,,,STL,CLE,PHI,,SEA,,,ARI,,,,DET,KCA,BOS,
4/21/17,LAD,,BOS,,,CHC,,SFN,CLE,,,,TOR,,,STL,DET,WAS,,SEA,ATL,NYY,MIA,,,,HOU,KCA,,
4/22/17,LAD,,BOS,,,CHC,,SFN,CLE,,,,TOR,,,STL,DET,WAS,,SEA,ATL,NYY,MIA,,,,HOU,KCA,,
4/23/17,LAD,,BOS,,,CHC,,SFN,CLE,,,,TOR,,,STL,DET,WAS,,SEA,ATL,NYY,MIA,,,,HOU,KCA,,
4/24/17,SD,,TBA,,,,,WAS,KCA,,,,TOR,,,CIN,,,,,,CHC,,,LAD,,,MIN,,
4/25/17,SD,,TBA,NYY,,,HOU,WAS,KCA,SEA,,,OAK,,,CIN,,ATL,,,MIA,CHC,,,LAD,TOR,,MIN,,
4/26/17,SD,,TBA,NYY,,,HOU,WAS,KCA,SEA,,,OAK,,,CIN,,ATL,,,MIA,CHC,,,LAD,TOR,,MIN,,
4/27/17,SD,,,NYY,,,HOU,WAS,,SEA,,,OAK,,,,,ATL,,,MIA,,,,LAD,TOR,,,,
4/28/17,COL,,,CHC,,,SEA,,,CWS,OAK,MIN,,PHI,PIT,ATL,,,BAL,,,,,,SDN,CIN,,LAA,TBA,NYM
4/29/17,COL,,,CHC,,,SEA,,,CWS,OAK,MIN,,PHI,PIT,ATL,,,BAL,,,,,,SDN,CIN,,LAA,TBA,NYM
4/30/17,COL,,,CHC,,,SEA,,,CWS,OAK,MIN,,PHI,PIT,ATL,,,BAL,,,,,,SDN,CIN,,LAA,TBA,NYM
5/1/17,,NYM,,BAL,PHI,PIT,,,,CLE,TEX,CWS,,SFN,TBA,,,,TOR,,,,,,,MIL,,,,
5/2/17,,NYM,,BAL,PHI,PIT,,,,CLE,TEX,CWS,,SFN,TBA,,OAK,,TOR,,,,COL,LAA,,MIL,,,,ARI
5/3/17,,NYM,,BAL,PHI,PIT,,,,CLE,TEX,CWS,,SFN,,,OAK,,TOR,,,,COL,LAA,,MIL,MIA,,,ARI
5/4/17,,NYM,,BAL,PHI,PIT,,,,CLE,TEX,CWS,,,,,OAK,,,,,,COL,LAA,,MIL,MIA,,,ARI
5/5/17,,STL,CWS,,NYY,SFN,,ARI,,,,CLE,HOU,,,,BOS,MIA,,DET,WAS,MIL,LAD,TEX,,,TOR,,,
5/6/17,,STL,CWS,,NYY,SFN,,ARI,,,,CLE,HOU,,,,BOS,MIA,,DET,WAS,MIL,LAD,TEX,,,TOR,,,
5/7/17,,STL,CWS,,NYY,SFN,,ARI,,,,CLE,HOU,,,,BOS,MIA,,DET,WAS,MIL,LAD,TEX,,,TOR,,,
5/8/17,,,WAS,,,NYY,,CHC,,,,,,PIT,STL,,,SFN,,LAA,,,TEX,,,,KCA,,CLE,
5/9/17,DET,,WAS,,,NYY,,CHC,MIN,,ATL,,,PIT,STL,BOS,,SFN,,LAA,SEA,,TEX,,,,KCA,,CLE,
5/10/17,DET,,,,,,,CHC,MIN,,ATL,,,PIT,STL,BOS,,SFN,,LAA,SEA,,,,,,KCA,SDN,CLE,BAL
5/11/17,PIT,,,,,,,LAD,MIN,,,,DET,,,BOS,,,HOU,,,,,,CIN,,KCA,SDN,SEA,BAL
5/12/17,PIT,,,TBA,,,MIN,LAD,SDN,,,BAL,DET,,ATL,NYM,,,HOU,,,,,,CIN,CHC,,OAK,SEA,PHI
5/13/17,PIT,,,TBA,,,MIN,LAD,SDN,,,BAL,DET,,ATL,NYM,,,HOU,,,,,,CIN,CHC,,OAK,SEA,PHI
5/14/17,PIT,,,TBA,,,MIN,LAD,SDN,,,BAL,DET,,ATL,NYM,,,HOU,,,,,,CIN,CHC,,OAK,SEA,PHI
5/15/17,NYM,,,,,,TBA,,,,,,CWS,,HOU,,,,,,,,MIL,OAK,LAD,,,,ATL,
5/16/17,NYM,,,,CIN,,TBA,,,BAL,,NYY,CWS,,HOU,,COL,,,,,WAS,MIL,OAK,LAD,BOS,,PHI,ATL,
5/17/17,NYM,TOR,,,CIN,,TBA,,,BAL,,NYY,CWS,,HOU,,COL,,,,,WAS,MIL,OAK,LAD,BOS,,PHI,,
5/18/17,,TOR,,,CIN,,,,,BAL,,NYY,,MIA,,,COL,,,BOS,,WAS,MIL,CWS,,,,PHI,,
5/19/17,,WAS,TOR,,MIL,COL,,,,TEX,CLE,,,MIA,,,KCA,LAA,,BOS,,PHI,ARI,CWS,,SFN,NYY,,,
5/20/17,,WAS,TOR,,MIL,COL,,,,TEX,CLE,,,MIA,,,KCA,LAA,,BOS,,PHI,ARI,CWS,,SFN,NYY,,,
5/21/17,,WAS,TOR,,MIL,COL,,,,TEX,CLE,,,MIA,,,KCA,LAA,,BOS,,PHI,ARI,CWS,,SFN,NYY,,,
5/22/17,CWS,PIT,MIN,,SFN,CLE,,,,,DET,,,,,,,,KCA,,COL,,,,,,LAA,,,
5/23/17,CWS,PIT,MIN,TEX,SFN,CLE,,,,,DET,,,STL,,TOR,,SDN,KCA,MIA,COL,,,,,,LAA,,,SEA
5/24/17,CWS,PIT,MIN,TEX,SFN,,CIN,,,,DET,,,STL,,TOR,,SDN,KCA,MIA,COL,,,,,,LAA,,,SEA
5/25/17,,PIT,,TEX,SFN,,CIN,,,,DET,,,STL,,ARI,,SDN,KCA,,COL,,,,,,LAA,,,SEA
5/26/17,,,,SEA,,,KCA,STL,DET,,BAL,,,CHC,LAA,ARI,TBA,,OAK,,CIN,NYM,,,ATL,,,,TEX,SDN
5/27/17,,,,SEA,,,KCA,STL,DET,,BAL,,,CHC,LAA,ARI,TBA,,OAK,,CIN,NYM,,,ATL,,,,TEX,SDN
5/28/17,,,,SEA,,,KCA,STL,DET,,BAL,,,CHC,LAA,ARI,TBA,,OAK,,CIN,NYM,,,ATL,,,,TEX,SDN
5/29/17,,,NYY,,,,OAK,SEA,BOS,,,DET,ATL,,PHI,,HOU,MIL,,,,ARI,CHC,,WAS,LAD,,TBA,CIN,
5/30/17,,,NYY,,,,OAK,SEA,BOS,,,DET,ATL,,PHI,,HOU,MIL,,,,ARI,CHC,,WAS,LAD,,TBA,CIN,
5/31/17,,,NYY,,,,OAK,,BOS,,,DET,ATL,,PHI,,HOU,MIL,,,,ARI,CHC,COL,WAS,LAD,,TBA,CIN,
6/1/17,,,BOS,,,,OAK,,,,,,MIN,,ARI,,,MIL,,,,,,COL,,LAD,,,NYY,
6/2/17,,,BOS,,STL,ATL,,,,CWS,,CLE,MIN,,ARI,LAD,,PIT,,WAS,SFN,,COL,TBA,,,,HOU,NYY,
6/3/17,,,BOS,,STL,ATL,,,,CWS,,CLE,MIN,,ARI,LAD,,PIT,,WAS,SFN,,COL,TBA,,,,HOU,NYY,
6/4/17,,,BOS,,STL,ATL,,,,CWS,,CLE,MIN,,ARI,LAD,,PIT,,WAS,SFN,,COL,TBA,,,,HOU,NYY,
6/5/17,,PHI,,,MIA,STL,,,,,,HOU,,WAS,,SFN,,,,TOR,,,,,,,,,,
6/6/17,SDN,PHI,PIT,,MIA,STL,,CLE,,LAA,,HOU,,WAS,,SFN,,,BOS,TOR,,,,MIN,,,CWS,NYM,,
6/7/17,SDN,PHI,PIT,,MIA,STL,,CLE,,LAA,,HOU,,WAS,,SFN,,,BOS,TOR,,,,MIN,,,CWS,NYM,,
6/8/17,SDN,PHI,,,COL,STL,,,,LAA,,HOU,,,,SFN,,,BOS,,,MIA,,MIN,,,CWS,,,
6/9/17,MIL,NYM,,DET,COL,,CWS,,,,LAA,,,CIN,,,,,BAL,,,MIA,KCA,TOR,MIN,PHI,OAK,,,TEX
